0x00   | 63808 67.40%| 66000 69.72%| 64267 67.89%| 36197 38.24%| 44128 46.61%| 52360 55.31%| 45860 48.44%|  1257  1.33%|
0x01   |  5020  5.30%|     0  0.00%|     0  0.00%|  1910  2.02%|  4836  5.11%|  2399  2.53%|   355  0.37%|  1227  1.30%|
0x02   |  2457  2.60%|  4827  5.10%|     0  0.00%|  1215  1.28%|     9  0.01%|     0  0.00%|     0  0.00%|   282  0.30%|
0x03   |  1244  1.31%|     0  0.00%|   119  0.13%|   162  0.17%|    10  0.01%|     0  0.00%|   637  0.67%|  1318  1.39%|
0x04   |  1200  1.27%|   163  0.17%|   163  0.17%|   105  0.11%|    52  0.05%|     0  0.00%|     0  0.00%|  1438  1.52%|
0x05   |     0  0.00%|  2413  2.55%|  4827  5.10%|  5075  5.36%|     8  0.01%|     0  0.00%|     0  0.00%|    75  0.08%|
0x06   |     0  0.00%|     0  0.00%|     0  0.00%|   401  0.42%|     3  0.00%|  1200  1.27%|     0  0.00%|    29  0.03%|
0x07   |     0  0.00%|     0  0.00%|  4828  5.10%|   472  0.50%|     6  0.01%|     0  0.00%|     0  0.00%|    59  0.06%|
0x08   |     0  0.00%|   104  0.11%|     0  0.00%|  2650  2.80%|     6  0.01%|  4827  5.10%|     0  0.00%|  1093  1.15%|
0x09   |     0  0.00%|     0  0.00%|    44  0.05%|  1853  1.96%|   495  0.52%|     0  0.00%|     0  0.00%|    30  0.03%|
0x0a   |     0  0.00%|     0  0.00%|     0  0.00%|   606  0.64%|     1  0.00%|     0  0.00%|     0  0.00%|  4827  5.10%|
0x0b   |     0  0.00%|  1200  1.27%|     0  0.00%|   236  0.25%|     7  0.01%|     0  0.00%|   577  0.61%|   282  0.30%|
0x0c   |     0  0.00%|   800  0.85%|     0  0.00%|  1066  1.13%|     5  0.01%|     0  0.00%|     0  0.00%|  1229  1.30%|
0x0d   |     0  0.00%|     0  0.00%|     0  0.00%|   357  0.38%|    13  0.01%|     0  0.00%|     0  0.00%|  1420  1.50%|
0x0e   |     0  0.00%|     0  0.00%|     0  0.00%|   460  0.49%|     8  0.01%|     0  0.00%|   489  0.52%|   386  0.41%|
0x0f   |     0  0.00%|  2399  2.53%|     0  0.00%|   134  0.14%|     2  0.00%|   607  0.64%|   119  0.13%|   119  0.13%|
0x10   |     0  0.00%|     0  0.00%|  2442  2.58%|   134  0.14%|  4832  5.10%|     0  0.00%|  5168  5.46%|  1254  1.32%|
0x11   |     0  0.00%|     0  0.00%|     0  0.00%|    59  0.06%|    11  0.01%|     0  0.00%|     0  0.00%|   300  0.32%|
0x12   |     0  0.00%|     0  0.00%|   118  0.12%|    30  0.03%|    12  0.01%|     0  0.00%|   637  0.67%|  1315  1.39%|
0x13   |     0  0.00%|     0  0.00%|     0  0.00%|    74  0.08%|    10  0.01%|     0  0.00%|     0  0.00%|  1514  1.60%|
0x14   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     6  0.01%|     0  0.00%|     0  0.00%|   132  0.14%|
0x15   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|    10  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x16   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     4  0.00%|     0  0.00%|     0  0.00%|    15  0.02%|
0x17   |     0  0.00%|   119  0.13%|     0  0.00%|     0  0.00%|     8  0.01%|     0  0.00%|     0  0.00%|  1111  1.17%|
0x18   |     0  0.00%|     0  0.00%|    45  0.05%|  1214  1.28%|     9  0.01%|     0  0.00%|     0  0.00%|    15  0.02%|
0x19   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     8  0.01%|     0  0.00%|     0  0.00%|  2472  2.61%|
0x1a   |     0  0.00%|     0  0.00%|     0  0.00%|  4827  5.10%|     8  0.01%|     0  0.00%|   563  0.59%|   280  0.30%|
0x1b   |     0  0.00%|   799  0.84%|     0  0.00%|   607  0.64%|     6  0.01%|     0  0.00%|     0  0.00%|  1229  1.30%|
0x1c   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     9  0.01%|   163  0.17%|     0  0.00%|  1332  1.41%|
0x1d   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     4  0.00%|     0  0.00%|     0  0.00%|   432  0.46%|
0x1e   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     4  0.00%|   607  0.64%|   118  0.12%|    90  0.10%|
0x1f   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     4  0.00%|     0  0.00%|     0  0.00%|  1273  1.34%|
0x20   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     5  0.01%|     0  0.00%|     0  0.00%|   547  0.58%|
0x21 ! |     0  0.00%|     0  0.00%|   118  0.12%|     0  0.00%|     6  0.01%|     0  0.00%|   548  0.58%|  1316  1.39%|
0x22 " |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|  1208  1.28%|     0  0.00%|     0  0.00%|  1434  1.51%|
0x23 # |   163  0.17%|     0  0.00%|     0  0.00%|     0  0.00%|     2  0.00%|     0  0.00%|     0  0.00%|    89  0.09%|
0x24 $ |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     9  0.01%|     0  0.00%|     0  0.00%|   148  0.16%|
0x25 % |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     4  0.00%|     0  0.00%|     0  0.00%|    60  0.06%|
0x26 & |     0  0.00%|   118  0.12%|     0  0.00%|     0  0.00%|    13  0.01%|     0  0.00%|     0  0.00%|  1067  1.13%|
0x27 ' |     0  0.00%|     0  0.00%|    30  0.03%|  1200  1.27%|     7  0.01%|     0  0.00%|     0  0.00%|    15  0.02%|
0x28 ( |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|    10  0.01%|     0  0.00%|     0  0.00%|  2459  2.60%|
0x29 ) |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     4  0.00%|     0  0.00%|   651  0.69%|   281  0.30%|
0x2a * |     0  0.00%|   799  0.84%|     0  0.00%|   592  0.63%|    10  0.01%|     0  0.00%|     0  0.00%|  1259  1.33%|
0x2b + |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     9  0.01%|     0  0.00%|     0  0.00%|  1290  1.36%|
